Indice  Estatus    Matricula  Apellido paterno     Apellido materno     Nombre               Edad  Genero    
36      ACTIVO     314376     COTA                 FLORES               ESMERALDA            42    MUJER     
37      ACTIVO     322929     DIAZ                 PINEDA               ADONIS               67    HOMBRE    
38      ACTIVO     308232     CASTRO               ESPINOZA             FERNANDA             24    MUJER     
39      ACTIVO     317833     FERNANDEZ            COTA                 BRUNO                50    HOMBRE    
40      ACTIVO     324648     SILVA                MORA                 ELENA                19    MUJER     
41      ACTIVO     301296     VERA                 RUIZ                 JAVIER               25    HOMBRE    
42      ACTIVO     315268     QUISPE               PINEDA               BIANCA               64    MUJER     
43      ACTIVO     326422     LOPEZ                ESPINOZA             ISAAC                47    HOMBRE    
44      ACTIVO     330416     MEJIA                COTA                 HUGO                 20    HOMBRE    
45      ACTIVO     325417     FLORES               GARCIA               DANIEL               53    HOMBRE    
46      ACTIVO     319315     ANDRADE              MARTINEZ             DYLAN                47    HOMBRE    
47      ACTIVO     328526     LOPEZ                CASTILLO             TERESA               43    MUJER     
48      ACTIVO     329217     MEJIA                DUARTE               PABLO                51    HOMBRE    
49      ACTIVO     313376     MORA                 CONTRERAS            CAMILA               42    MUJER     
50      ACTIVO     324184     BENITEZ              ESPINOZA             ALDO                 51    HOMBRE    
51      ACTIVO     322665     ANDRADE              ESPINOZA             JOHAN                62    HOMBRE    
52      ACTIVO     302429     BENITEZ              LOPEZ                BRUNO                38    HOMBRE    
53      ACTIVO     324895     DIAZ                 SILVA                AXEL                 51    HOMBRE    
54      ACTIVO     326167     MARTINEZ             DUARTE               GERMAN               38    HOMBRE    
55      ACTIVO     325025     MEJIA                CASTRO               MANUEL               45    HOMBRE    
56      ACTIVO     323693     DIAZ                 FERNANDEZ            DYLAN                55    HOMBRE    
57      ACTIVO     330802     DIAZ                 CASTRO               MARTINA              43    MUJER     
58      ACTIVO     326204     SANCHEZ              ROJAS                MARCO                57    HOMBRE    
59      ACTIVO     321205     ALVAREZ              CASTILLO             LUCAS                41    HOMBRE    
60      ACTIVO     310972     PEREZ                CASTRO               ELENA                57    MUJER     
61      ACTIVO     314282     DE LA FUENTE         SANCHEZ              MIA                  23    MUJER     
62      ACTIVO     313364     VERA                 DEL TORO             MONSERRAT            38    MUJER     
63      ACTIVO     320360     MARTINEZ             PINEDA               ERICK                56    HOMBRE    
64      ACTIVO     307003     QUISPE               SANCHEZ              DYLAN                46    HOMBRE    
65      ACTIVO     310684     MARTINEZ             BENITEZ              MAGDALENA            28    MUJER     
66      ACTIVO     317969     RODRIGUEZ            DE LA FUENTE         JULIETA              58    MUJER     
67      ACTIVO     315137     COTA                 DE LA FUENTE         HUGO                 70    HOMBRE    
68      ACTIVO     305085     CASTRO               SILVA                ALICIA               28    MUJER     
69      ACTIVO     320353     PEREZ                RODRIGUEZ            ERICK                18    HOMBRE    
70      ACTIVO     304968     BENITEZ              ANDRADE              JOHAN                60    HOMBRE    
71      ACTIVO     311243     ESPINOZA             GARCIA               ADRIAN               46    HOMBRE    
72      ACTIVO     308346     CONTRERAS            COTA                 AURA                 62    MUJER     
73      ACTIVO     323862     VERA                 PINEDA               MARIA                69    MUJER     
74      ACTIVO     300788     BENITEZ              GARCIA               GINEBRA              42    MUJER     
75      ACTIVO     328341     DIAZ                 MARTINEZ             LUCAS                24    HOMBRE    
76      ACTIVO     327566     SILVA                LOPEZ                ELENA                48    MUJER     
77      ACTIVO     301339     DIAZ                 DUARTE               DYLAN                33    HOMBRE    
78      ACTIVO     327666     FERNANDEZ            MORA                 MONSERRAT            30    MUJER     
79      ACTIVO     306737     ROJAS                SILVA                ALEJANDRA            30    MUJER     
80      ACTIVO     317561     ESPINOZA             HERNANDEZ            FRANCISCO            24    HOMBRE    
81      ACTIVO     321430     FERNANDEZ            DIAZ                 VALENTINA            26    MUJER     
82      ACTIVO     309317     COTA                 ROJAS                ESMERALDA            22    MUJER     
83      ACTIVO     313079     FERNANDEZ            ROJAS                MONSERRAT            54    MUJER     
84      ACTIVO     314271     CONTRERAS            CASTRO               ADRIAN               28    HOMBRE    
85      ACTIVO     306671     FERNANDEZ            ESPINOZA             JULIETA              61    MUJER     
86      ACTIVO     308370     CASTRO               SILVA                CAMILA               61    MUJER     
87      ACTIVO     324161     MORA                 CASTILLO             OLIVER               61    HOMBRE    
88      ACTIVO     313800     DUARTE               RUIZ                 YAEL                 66    HOMBRE    
89      ACTIVO     327252     DUARTE               ESPINOZA             AXEL                 32    HOMBRE    
90      ACTIVO     309155     DE LA FUENTE         MEJIA                AXEL                 37    HOMBRE    
91      ACTIVO     309742     LOPEZ                QUISPE               FRANCISCO            42    HOMBRE    
92      ACTIVO     319391     CASTRO               ALVAREZ              FERNANDA             17    MUJER     
93      ACTIVO     309044     ALVAREZ              DEL TORO             BRUNO                49    HOMBRE    
94      ACTIVO     332262     GARCIA               ANDRADE              ADRIAN               40    HOMBRE    
95      ACTIVO     319457     PINEDA               CASTRO               LEONARDO             57    HOMBRE    
96      ACTIVO     326964     VERA                 MORA                 AMANDA               68    MUJER     
97      ACTIVO     302790     LOPEZ                SANCHEZ              MARCO                23    HOMBRE    
98      ACTIVO     323821     SILVA                CASTILLO             AURA                 49    MUJER     
99      ACTIVO     311682     DE LA FUENTE         CASTRO               ISAAC                28    HOMBRE    
100     ACTIVO     314748     PINEDA               ROJAS                LEONARDO             47    HOMBRE    
101     ACTIVO     331393     SILVA                MORA                 ADRIAN               19    HOMBRE    
102     ACTIVO     311022     LOPEZ                FERNANDEZ            ISAAC                47    HOMBRE    
103     ACTIVO     314170     DEL TORO             ALVAREZ              ESMERALDA            36    MUJER     
104     ACTIVO     302542     DE LA FUENTE         FLORES               FELIX                25    HOMBRE    
105     ACTIVO     306852     LOPEZ                DE LA FUENTE         DAFNE                20    MUJER     
106     ACTIVO     332354     PEREZ                FLORES               PAOLA                30    MUJER     
107     ACTIVO     326648     MARTINEZ             FERNANDEZ            JULIETA              39    MUJER     
108     ACTIVO     316774     SILVA                JUAREZ               REBECA               65    MUJER     
109     ACTIVO     311726     MARTINEZ             RODRIGUEZ            FRIDA                65    MUJER     
110     ACTIVO     306408     BENITEZ              FLORES               ABRIL                63    MUJER     
111     ACTIVO     325809     CASTRO               PINEDA               MANUEL               49    HOMBRE    
112     ACTIVO     326884     DUARTE               FLORES               MAGDALENA            25    MUJER     
113     ACTIVO     327652     PINEDA               PINEDA               BIANCA               66    MUJER     
114     ACTIVO     330753     CASTRO               ESPINOZA             BRUNA                19    MUJER     
115     ACTIVO     307161     FLORES               DUARTE               OLIVIA               18    MUJER     
116     ACTIVO     316876     SILVA                PINEDA               ALEJANDRA            40    MUJER     
117     ACTIVO     328400     COTA                 DIAZ                 AXEL                 42    HOMBRE    
118     ACTIVO     329555     DE LA FUENTE         LOPEZ                ERICK                68    HOMBRE    
119     ACTIVO     330989     PINEDA               HERNANDEZ            ALEJANDRO            45    HOMBRE    
120     ACTIVO     328197     DEL TORO             JUAREZ               AXEL                 49    HOMBRE    
121     ACTIVO     311486     VERA                 RODRIGUEZ            TERESA               17    MUJER     
122     ACTIVO     327881     SILVA                HERNANDEZ            ALEJANDRO            20    HOMBRE    
123     ACTIVO     310252     RODRIGUEZ            MARTINEZ             MONSERRAT            19    MUJER     
124     ACTIVO     310108     RUIZ                 PINEDA               FELIX                33    HOMBRE    
125     ACTIVO     301119     BENITEZ              CONTRERAS            ALBERTO              48    HOMBRE    
126     ACTIVO     304111     PEREZ                MORA                 ALBERTO              51    HOMBRE    
127     ACTIVO     326871     LOPEZ                SANCHEZ              MANUEL               66    HOMBRE    
128     ACTIVO     301824     GARCIA               HERNANDEZ            OLIVER               32    HOMBRE    
129     ACTIVO     322472     COTA                 GARCIA               VALENTINA            58    MUJER     
130     ACTIVO     308600     ROJAS                MEJIA                DAFNE                29    MUJER     
131     ACTIVO     329526     MEJIA                DE LA FUENTE         ESMERALDA            69    MUJER     
132     ACTIVO     323846     DIAZ                 MARTINEZ             DAFNE                69    MUJER     
133     ACTIVO     314514     LOPEZ                ANDRADE              JOHAN                24    HOMBRE    
134     ACTIVO     324282     HERNANDEZ            PINEDA               VALERIA              67    MUJER     
135     ACTIVO     327060     PEREZ                LOPEZ                FRIDA                36    MUJER     
136     ACTIVO     306148     ALVAREZ              JUAREZ               PABLO                48    HOMBRE    
137     ACTIVO     309082     CASTRO               VERA                 GINA                 58    MUJER     
138     ACTIVO     327983     COTA                 DE LA FUENTE         AMANDA               28    MUJER     
139     ACTIVO     323840     MORA                 HERNANDEZ            AMANDA               55    MUJER     
140     ACTIVO     315384     ANDRADE              SILVA                MONSERRAT            65    MUJER     
141     ACTIVO     319136     QUISPE               SANCHEZ              LUCAS                70    HOMBRE    
142     ACTIVO     323060     BENITEZ              MEJIA                JESUS                24    HOMBRE    
143     ACTIVO     324748     DUARTE               SANCHEZ              ABRIL                21    MUJER     
144     ACTIVO     327425     VERA                 LOPEZ                JESUS                57    HOMBRE    
145     ACTIVO     329418     MARTINEZ             MARTINEZ             JOHAN                55    HOMBRE    
146     ACTIVO     310603     MORA                 PINEDA               VALENTINA            46    MUJER     
147     ACTIVO     311504     JUAREZ               MORA                 OLIVIA               59    MUJER     
148     ACTIVO     331682     FLORES               QUISPE               AXEL                 26    HOMBRE    
149     ACTIVO     323968     SANCHEZ              HERNANDEZ            ALEJANDRA            39    MUJER     
150     ACTIVO     330266     DUARTE               JUAREZ               LEONARDO             63    HOMBRE    
151     ACTIVO     321382     FERNANDEZ            MORA                 MAGDALENA            30    MUJER     
152     ACTIVO     308453     PEREZ                ESPINOZA             ALEJANDRO            46    HOMBRE    
153     ACTIVO     317744     PEREZ                GARCIA               DYLAN                43    HOMBRE    
154     ACTIVO     308588     SILVA                COTA                 JESUS                52    HOMBRE    
155     ACTIVO     300653     QUISPE               DE LA FUENTE         BRUNA                37    MUJER     
156     ACTIVO     308659     BENITEZ              JUAREZ               MONSERRAT            38    MUJER     
157     ACTIVO     326794     JUAREZ               DEL TORO             MARCO                45    HOMBRE    
158     ACTIVO     304622     ANDRADE              QUISPE               AMANDA               33    MUJER     
159     ACTIVO     322569     DEL TORO             CONTRERAS            OLIVIA               42    MUJER     
160     ACTIVO     308318     LOPEZ                QUISPE               BIANCA               22    MUJER     
161     ACTIVO     309762     SILVA                COTA                 ALICIA               69    MUJER     
162     ACTIVO     300913     CASTILLO             COTA                 REBECA               49    MUJER     
163     ACTIVO     317919     GARCIA               MORA                 ALEXA                24    MUJER     
164     ACTIVO     329242     PINEDA               DIAZ                 ADONIS               62    HOMBRE    
165     ACTIVO     310099     GARCIA               DUARTE               ALEXA                37    MUJER     
166     ACTIVO     326252     CASTILLO             DE LA FUENTE         GINA                 43    MUJER     
167     ACTIVO     301211     ALVAREZ              FERNANDEZ            AXEL                 62    HOMBRE    
168     ACTIVO     301693     PEREZ                PEREZ                PABLO                27    HOMBRE    
169     ACTIVO     307448     QUISPE               CASTRO               MIA                  17    MUJER     
170     ACTIVO     320377     GARCIA               PINEDA               BIANCA               30    MUJER     
171     ACTIVO     306028     GARCIA               PINEDA               YAEL                 59    HOMBRE    
172     ACTIVO     324357     CONTRERAS            HERNANDEZ            AMANDA               31    MUJER     
173     ACTIVO     302515     DIAZ                 CASTRO               FERNANDA             45    MUJER     
174     ACTIVO     330454     CONTRERAS            CASTILLO             GERMAN               44    HOMBRE    
175     ACTIVO     324484     ESPINOZA             SILVA                FELIX                43    HOMBRE    
176     ACTIVO     305808     QUISPE               ESPINOZA             ALICIA               38    MUJER     
177     ACTIVO     307721     QUISPE               ALVAREZ              MARIA                54    MUJER     
178     ACTIVO     318435     ALVAREZ              CASTILLO             ADONIS               59    HOMBRE    
179     ACTIVO     316315     MEJIA                ESPINOZA             MANUEL               69    HOMBRE    
180     ACTIVO     330979     JUAREZ               JUAREZ               AMANDA               58    MUJER     
181     ACTIVO     309186     FERNANDEZ            JUAREZ               PAOLA                28    MUJER     
182     ACTIVO     300200     RODRIGUEZ            DE LA FUENTE         BRUNO                70    HOMBRE    
183     ACTIVO     320363     BENITEZ              DE LA FUENTE         GINEBRA              48    MUJER     
184     ACTIVO     310822     LOPEZ                FERNANDEZ            HUGO                 41    HOMBRE    
185     ACTIVO     331115     DIAZ                 PEREZ                GINA                 56    MUJER     
186     ACTIVO     324942     DEL TORO             ALVAREZ              PABLO                50    HOMBRE    
187     ACTIVO     308019     VERA                 PEREZ                ALEJANDRA            22    MUJER     
188     ACTIVO     324197     COTA                 MORA                 PAOLA                18    MUJER     
189     ACTIVO     307669     VERA                 ESPINOZA             ERICK                20    HOMBRE    
190     ACTIVO     327587     QUISPE               GARCIA               AMANDA               55    MUJER     
191     ACTIVO     302903     HERNANDEZ            DIAZ                 DYLAN                64    HOMBRE    
192     ACTIVO     308495     GARCIA               ALVAREZ              YAEL                 50    HOMBRE    
193     ACTIVO     319381     ROJAS                FERNANDEZ            DAFNE                52    MUJER     
194     ACTIVO     312985     CASTILLO             BENITEZ              ALBERTO              68    HOMBRE    
195     ACTIVO     308028     ROJAS                MEJIA                FRANCISCO            27    HOMBRE    
196     ACTIVO     311416     ALVAREZ              DEL TORO             DAFNE                27    MUJER     
197     ACTIVO     309380     LOPEZ                GARCIA               JAVIER               52    HOMBRE    
198     ACTIVO     314821     ALVAREZ              PEREZ                BRUNA                56    MUJER     
199     ACTIVO     302606     VERA                 CASTRO               ALBERTO              68    HOMBRE    
200     ACTIVO     320856     DEL TORO             COTA                 FRIDA                30    MUJER     
201     ACTIVO     327999     JUAREZ               JUAREZ               PABLO                34    HOMBRE    
202     ACTIVO     325858     ANDRADE              RUIZ                 JESUS                27    HOMBRE    
203     ACTIVO     308476     QUISPE               DIAZ                 JULIETA              67    MUJER     
204     ACTIVO     328267     MEJIA                MORA                 ADONIS               39    HOMBRE    
205     ACTIVO     322727     CASTILLO             DEL TORO             YAEL                 43    HOMBRE    
206     ACTIVO     330574     BENITEZ              DEL TORO             MARCO                34    HOMBRE    
207     ACTIVO     329560     PEREZ                FLORES               BIANCA               35    MUJER     
208     ACTIVO     330578     FERNANDEZ            COTA                 FRIDA                51    MUJER     
209     ACTIVO     325472     HERNANDEZ            ALVAREZ              YAEL                 63    HOMBRE    
210     ACTIVO     309130     ROJAS                MARTINEZ             HUGO                 68    HOMBRE    
211     ACTIVO     328186     SILVA                JUAREZ               OLIVER               27    HOMBRE    
212     ACTIVO     303439     FLORES               JUAREZ               JULIETA              45    MUJER     
213     ACTIVO     316243     VERA                 ALVAREZ              FRIDA                21    MUJER     
214     ACTIVO     330646     QUISPE               PEREZ                OLIVER               17    HOMBRE    
215     ACTIVO     330508     PEREZ                DIAZ                 JESUS                61    HOMBRE    
216     ACTIVO     308741     RODRIGUEZ            COTA                 AMANDA               68    MUJER     
217     ACTIVO     320065     ESPINOZA             MEJIA                IVAN                 38    HOMBRE    
218     ACTIVO     322702     ESPINOZA             DIAZ                 AURA                 18    MUJER     
219     ACTIVO     332555     GARCIA               BENITEZ              ADONIS               26    HOMBRE    
220     ACTIVO     326579     MORA                 ESPINOZA             ALDO                 60    HOMBRE    
221     ACTIVO     311425     DEL TORO             GARCIA               LEONARDO             18    HOMBRE    
222     ACTIVO     311869     DE LA FUENTE         ROJAS                FELIX                21    HOMBRE    
223     ACTIVO     316928     SANCHEZ              MEJIA                JESUS                53    HOMBRE    
224     ACTIVO     323810     ALVAREZ              COTA                 MARTINA              39    MUJER     
225     ACTIVO     320041     ESPINOZA             QUISPE               ALEXIA               36    MUJER     
226     ACTIVO     323611     LOPEZ                ROJAS                JULIETA              24    MUJER     
227     ACTIVO     319502     CASTRO               MARTINEZ             FERNANDA             18    MUJER     
228     ACTIVO     303769     LOPEZ                MORA                 CAMILA               17    MUJER     
229     ACTIVO     312047     FLORES               MARTINEZ             ALICIA               26    MUJER     
230     ACTIVO     320707     FLORES               ALVAREZ              IVAN                 17    HOMBRE    
231     ACTIVO     302678     MORA                 DE LA FUENTE         ABRIL                17    MUJER     
232     ACTIVO     320624     MEJIA                BENITEZ              MAGDALENA            64    MUJER     
233     ACTIVO     302197     SANCHEZ              CASTILLO             LUCAS                57    HOMBRE    
234     ACTIVO     314592     PEREZ                DEL TORO             GAEL                 17    HOMBRE    
235     ACTIVO     319166     GARCIA               QUISPE               ERICK                38    HOMBRE    
236     ACTIVO     328448     ROJAS                QUISPE               ALEJANDRA            17    MUJER     
237     ACTIVO     304324     MORA                 ESPINOZA             JOHAN                58    HOMBRE    
238     ACTIVO     323039     MEJIA                ROJAS                ABRIL                55    MUJER     
239     ACTIVO     316753     RODRIGUEZ            FERNANDEZ            MONSERRAT            67    MUJER     
240     ACTIVO     329578     COTA                 PINEDA               OLIVER               54    HOMBRE    
241     ACTIVO     312775     FLORES               DEL TORO             MANUEL               38    HOMBRE    
242     ACTIVO     307567     CASTRO               SILVA                IVAN                 25    HOMBRE    
243     ACTIVO     318395     COTA                 HERNANDEZ            ALEXA                19    MUJER     
244     ACTIVO     330448     JUAREZ               ALVAREZ              VALENTINA            34    MUJER     
245     ACTIVO     320719     PEREZ                ALVAREZ              BRUNA                70    MUJER     
246     ACTIVO     311559     PEREZ                COTA                 ADONIS               47    HOMBRE    
247     ACTIVO     311503     GARCIA               FERNANDEZ            BRUNO                25    HOMBRE    
248     ACTIVO     301529     ANDRADE              ANDRADE              GINA                 36    MUJER     
249     ACTIVO     309775     JUAREZ               DEL TORO             FRIDA                22    MUJER     
250     ACTIVO     307550     DUARTE               SILVA                JOHAN                54    HOMBRE    
251     ACTIVO     305155     GARCIA               ANDRADE              ALEJANDRO            43    HOMBRE    
252     ACTIVO     305200     GARCIA               CASTRO               OLIVIA               25    MUJER     
253     ACTIVO     309279     HERNANDEZ            ALVAREZ              GERMAN               65    HOMBRE    
254     ACTIVO     310770     SANCHEZ              QUISPE               GERMAN               19    HOMBRE    
255     ACTIVO     325873     VERA                 ALVAREZ              DAFNE                54    MUJER     
256     ACTIVO     300036     ANDRADE              DE LA FUENTE         ISAAC                21    HOMBRE    
257     ACTIVO     328572     ROJAS                ALVAREZ              CAMILA               30    MUJER     
258     ACTIVO     300164     HERNANDEZ            DUARTE               HUGO                 42    HOMBRE    
259     ACTIVO     319190     BENITEZ              MEJIA                AMANDA               41    MUJER     
260     ACTIVO     309639     ANDRADE              CASTILLO             IVAN                 60    HOMBRE    
261     ACTIVO     326148     CASTILLO             PINEDA               BRUNO                45    HOMBRE    
262     ACTIVO     307352     HERNANDEZ            ANDRADE              CAMILA               67    MUJER     
263     ACTIVO     317460     SILVA                DE LA FUENTE         VALENTINA            55    MUJER     
264     ACTIVO     300656     RUIZ                 PEREZ                BRUNA                27    MUJER     
265     ACTIVO     313980     RODRIGUEZ            SANCHEZ              TERESA               31    MUJER     
266     ACTIVO     300420     ROJAS                LOPEZ                MARTINA              51    MUJER     
267     ACTIVO     301309     ESPINOZA             COTA                 ISAAC                61    HOMBRE    
268     ACTIVO     312496     HERNANDEZ            FLORES               BRUNO                24    HOMBRE    
269     ACTIVO     305211     LOPEZ                MEJIA                ERICK                66    HOMBRE    
270     ACTIVO     327693     RUIZ                 DUARTE               MONSERRAT            38    MUJER     
271     ACTIVO     308919     CONTRERAS            ALVAREZ              ABRIL                36    MUJER     
272     ACTIVO     311314     GARCIA               PEREZ                ALEXA                66    MUJER     
273     ACTIVO     318449     LOPEZ                HERNANDEZ            HUGO                 53    HOMBRE    
274     ACTIVO     332127     RUIZ                 QUISPE               OLIVIA               49    MUJER     
275     ACTIVO     308368     QUISPE               ESPINOZA             TERESA               18    MUJER     
276     ACTIVO     317710     CASTRO               DEL TORO             HUGO                 44    HOMBRE    
277     ACTIVO     327377     RODRIGUEZ            DE LA FUENTE         HUGO                 23    HOMBRE    
278     ACTIVO     320571     JUAREZ               LOPEZ                ADAM                 55    HOMBRE    
279     ACTIVO     327730     PINEDA               DE LA FUENTE         ADAM                 35    HOMBRE    
280     ACTIVO     331473     BENITEZ              HERNANDEZ            ALVARO               43    HOMBRE    
281     ACTIVO     303199     DE LA FUENTE         JUAREZ               HUGO                 61    HOMBRE    
282     ACTIVO     331158     FERNANDEZ            PEREZ                OLIVER               62    HOMBRE    
283     ACTIVO     320861     RUIZ                 ROJAS                ALEXA                27    MUJER     
284     ACTIVO     305017     HERNANDEZ            HERNANDEZ            JAVIER               30    HOMBRE    
285     ACTIVO     310516     BENITEZ              ANDRADE              ALVARO               51    HOMBRE    
286     ACTIVO     322074     RODRIGUEZ            SILVA                FELIX                17    HOMBRE    
287     ACTIVO     311137     ROJAS                COTA                 FELIX                44    HOMBRE    
288     ACTIVO     304538     PINEDA               COTA                 MIA                  70    MUJER     
289     ACTIVO     317244     MARTINEZ             VERA                 LEONARDO             21    HOMBRE    
290     ACTIVO     310181     PINEDA               VERA                 MIA                  18    MUJER     
291     ACTIVO     326310     MARTINEZ             MEJIA                BRUNO                60    HOMBRE    
292     ACTIVO     331196     SANCHEZ              ROJAS                ALVARO               19    HOMBRE    
293     ACTIVO     319927     MEJIA                ANDRADE              ALVARO               65    HOMBRE    
294     ACTIVO     300742     ANDRADE              DEL TORO             YAEL                 33    HOMBRE    
295     ACTIVO     321062     MARTINEZ             JUAREZ               ELENA                31    MUJER     
296     ACTIVO     326617     SANCHEZ              SANCHEZ              ALVARO               60    HOMBRE    
297     ACTIVO     325689     SANCHEZ              ALVAREZ              ADONIS               67    HOMBRE    
298     ACTIVO     303173     GARCIA               QUISPE               AMANDA               42    MUJER     
299     ACTIVO     316655     PINEDA               DUARTE               MARCO                45    HOMBRE    
300     ACTIVO     329953     MORA                 VERA                 MANUEL               33    HOMBRE    
301     ACTIVO     321900     QUISPE               RUIZ                 FRIDA                52    MUJER     
302     ACTIVO     301722     FLORES               CASTILLO             BIANCA               40    MUJER     
303     ACTIVO     331684     MORA                 CASTILLO             ALVARO               57    HOMBRE    
304     ACTIVO     327736     PINEDA               CASTILLO             LUCAS                63    HOMBRE    
305     ACTIVO     331851     ROJAS                CONTRERAS            ALEJANDRA            48    MUJER     
306     ACTIVO     312178     PINEDA               RUIZ                 FRANCISCO            32    HOMBRE    
307     ACTIVO     300539     HERNANDEZ            ROJAS                DAFNE                34    MUJER     
308     ACTIVO     320820     MARTINEZ             PINEDA               VALERIA              41    MUJER     
309     ACTIVO     327078     CASTILLO             JUAREZ               AXEL                 57    HOMBRE    
310     ACTIVO     303722     MARTINEZ             FLORES               PAOLA                68    MUJER     
311     ACTIVO     306469     ROJAS                MARTINEZ             ALBERTO              35    HOMBRE    
312     ACTIVO     319288     ALVAREZ              GARCIA               DANIEL               55    HOMBRE    
313     ACTIVO     328502     ROJAS                MORA                 ALEJANDRO            19    HOMBRE    
314     ACTIVO     328428     JUAREZ               JUAREZ               YAEL                 17    HOMBRE    
315     ACTIVO     330828     HERNANDEZ            MEJIA                ALBERTO              44    HOMBRE    
316     ACTIVO     326257     MARTINEZ             JUAREZ               JOHAN                22    HOMBRE    
317     ACTIVO     325791     PEREZ                COTA                 LEONARDO             68    HOMBRE    
318     ACTIVO     308055     ALVAREZ              DUARTE               SOFIA                60    MUJER     
319     ACTIVO     315344     CONTRERAS            SILVA                ELENA                25    MUJER     
320     ACTIVO     318578     COTA                 DUARTE               JAVIER               25    HOMBRE    
321     ACTIVO     331051     FLORES               MORA                 REBECA               26    MUJER     
322     ACTIVO     322739     HERNANDEZ            PINEDA               FRIDA                69    MUJER     
323     ACTIVO     313373     HERNANDEZ            CASTRO               AURA                 61    MUJER     
324     ACTIVO     330821     ROJAS                VERA                 CAMILA               49    MUJER     
325     ACTIVO     304375     VERA                 SILVA                ALBERTO              41    HOMBRE    
326     ACTIVO     310251     DIAZ                 JUAREZ               ESMERALDA            64    MUJER     
327     ACTIVO     330212     MORA                 RUIZ                 ADRIAN               28    HOMBRE    
328     ACTIVO     317080     JUAREZ               DE LA FUENTE         MANUEL               50    HOMBRE    
329     ACTIVO     316456     RUIZ                 SILVA                MONSERRAT            21    MUJER     
330     ACTIVO     313680     DUARTE               DIAZ                 AMANDA               62    MUJER     
331     ACTIVO     330139     MARTINEZ             DIAZ                 MARIA                23    MUJER     
332     ACTIVO     302397     VERA                 FLORES               JOHAN                45    HOMBRE    
333     ACTIVO     311908     PEREZ                ROJAS                MONSERRAT            55    MUJER     
334     ACTIVO     307220     PINEDA               FERNANDEZ            MARTINA              18    MUJER     
335     ACTIVO     313081     HERNANDEZ            LOPEZ                DYLAN                45    HOMBRE    
336     ACTIVO     308906     RUIZ                 RUIZ                 GINEBRA              20    MUJER     
337     ACTIVO     327206     PINEDA               MORA                 ALICIA               23    MUJER     
338     ACTIVO     315321     DE LA FUENTE         ANDRADE              JOHAN                24    HOMBRE    
339     ACTIVO     310245     PINEDA               GARCIA               IVAN                 27    HOMBRE    
340     ACTIVO     318624     CONTRERAS            SANCHEZ              JULIETA              50    MUJER     
